t,ua,ub,uc,omega_mech,theta_mech,theta_e,ia,ib,ic,id,iq,T_em
0.041,0,0,0.15,-1.81748,-0.068165,-0.135967,-7.70697,5.05124,2.65573,-7.82331,0.325618,0.0126991
0.042,0,0,0.15,-1.79974,-0.0699726,-0.139585,-7.64625,5.0094,2.63685,-7.76247,0.292633,0.0114127
0.043,0,0,0.15,-1.78432,-0.0717636,-0.14317,-7.58816,4.94915,2.63901,-7.70083,0.237418,0.00925929
0.044,0,0,0.15,-1.77216,-0.0735409,-0.146727,-7.53202,4.87621,2.65581,-7.63851,0.166986,0.00651247
0.045,0,0,0.15,-1.76383,-0.0753082,-0.150264,-7.47702,4.79636,2.68066,-7.57562,0.0884381,0.00344908
0.046,0,0,0.15,-1.75953,-0.0770693,-0.153787,-7.42231,4.71495,2.70736,-7.51226,0.00844648,0.000329413
0.047,0,0,0.15,-1.75919,-0.0788283,-0.157305,-7.36706,4.63662,2.73043,-7.4485,-0.0671482,-0.00261878
0.048,0,0,0.15,-1.76242,-0.080589,-0.160826,-7.31052,4.56509,2.74543,-7.38442,-0.133632,-0.00521166
0.049,0,0,0.15,-1.76867,-0.0823547,-0.164356,-7.2521,4.503,2.7491,-7.32005,-0.187591,-0.00731605
0.05,0,0,0.15,-1.77724,-0.0841279,-0.1679,-7.19135,4.45192,2.73943,-7.25545,-0.226966,-0.00885169
0.051,0,0,0.15,-1.78736,-0.0859106,-0.171464,-7.12801,4.41234,2.71568,-7.19063,-0.251011,-0.00978945
0.052,0,0,0.15,-1.79826,-0.0877039,-0.175048,-7.06203,4.38386,2.67817,-7.12561,-0.260159,-0.0101462
0.053,0,0,0.15,-1.80924,-0.0895082,-0.178655,-6.99349,4.3653,2.62819,-7.06041,-0.255828,-0.00997728
0.054,0,0,0.15,-1.81965,-0.0913233,-0.182283,-6.92266,4.35491,2.56775,-6.99501,-0.240181,-0.00936706
0.055,0,0,0.15,-1.82901,-0.0931482,-0.185931,-6.8499,4.35058,2.49932,-6.92942,-0.215875,-0.00841911
0.056,0,0,0.15,-1.83696,-0.0949817,-0.189596,-6.77566,4.35004,2.42562,-6.86363,-0.1858,-0.00724619
0.057,0,0,0.15,-1.8433,-0.0968223,-0.193276,-6.70043,4.35104,2.34939,-6.79764,-0.152848,-0.00596107
0.058,0,0,0.15,-1.84794,-0.0986683,-0.196967,-6.6247,4.35151,2.27319,-6.73143,-0.119707,-0.00466858
0.059,0,0,0.15,-1.85096,-0.100518,-0.200666,-6.54893,4.34969,2.19925,-6.66499,-0.0887026,-0.0034594
0.06,0,0,0.15,-1.85251,-0.10237,-0.204369,-6.47353,4.34418,2.12935,-6.59833,-0.0616839,-0.00240567
